key,text:es,ipa:es,audio:es,audio source:es,tags:es
six (6),seis,/ˈsejs/,[sound:al_es_es_six_6.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
sixteen (16),dieciséis,/dje.θiˈsejs/,[sound:al_es_es_sixteen_16.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
sixty (60),sesenta,/seˈsen.ta/,[sound:al_es_es_sixty_60.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
sixty-one (61),sesenta y uno,/seˈsen.ta i ˈu.no/,[sound:al_es_es_sixty_one_61.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
sixty-two (62),sesenta y dos,/seˈsen.ta i ˈðos/,[sound:al_es_es_sixty_two_62.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
slow,lento,/ˈlen.to/,[sound:al_es_es_slow.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
small / little,pequeño,/peˈke.ɲo/,[sound:al_es_es_small_little.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
soft,suave,/ˈswa.βe/,[sound:al_es_es_soft.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
soil/earth [ground],la tierra,/la ˈtje.ra/,[sound:al_es_es_earth.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
space (outer space),el espacio,/el esˈpaθjo/,[sound:al_es_es_space_outer_space.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
sport,el deporte,/el deˈpoɾ.te/,[sound:al_es_es_sport.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
stone,la piedra,/la ˈpje.ðɾa/,[sound:al_es_es_stone.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
straight,recto,/ˈrek.to/,[sound:al_es_es_straight.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
strong,fuerte,/ˈfweɾ.te/,[sound:al_es_es_strong.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
sugar,el azúcar,/el aˈθu.kaɾ/,[sound:al_es_es_sugar.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
Sunday,domingo,/doˈmiŋ.ɡo/,[sound:al_es_es_sunday.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
sweat,el sudor,/el suˈðoɾ/,[sound:al_es_es_sweat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
tall,alto,/ˈal.to/,[sound:al_es_es_high.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
tea,el té,/el te/,[sound:al_es_es_tea.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
technology,la tecnología,/la tek.no.loˈxi.a/,[sound:al_es_es_technology.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
temperature,la temperatura,/la tem.peɾaˈtu.ɾa/,[sound:al_es_es_temperature.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
ten (10),diez,/ˈdjeθ/,[sound:al_es_es_ten_10.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
"ten thousand (10,000)",diez mil,/ˈdjeθ ˈmil/,[sound:al_es_es_ten_thousand_10_000.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
the (train) ticket,el billete (de tren),/el biˈʝete (de ˈtɾen)/,[sound:al_es_es_the_train_ticket.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the actor,el actor / la actriz,/el akˈtoɾ/ /la aˈtɾiθ/,[sound:al_es_es_the_actor.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the adjective,el adjetivo,/el að.xeˈti.βo/,[sound:al_es_es_the_adjective.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the adult,el adulto,/el aˈðulto/,[sound:al_es_es_the_adult.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the afternoon,la tarde,/la ˈtaɾ.ðe/,[sound:al_es_es_the_afternoon.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the air,el aire,/el ˈai.ɾe/,[sound:al_es_es_the_air.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
the airport,el aeropuerto,/el aɛɾoˈpweɾto/,[sound:al_es_es_the_airport.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the animal,el animal,/el aniˈmal/,[sound:al_es_es_the_animal.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the apartment,el apartamento,/el apaɾtaˈmento/,[sound:al_es_es_the_apartment.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the apple,la manzana,/la manˈθa.na/,[sound:al_es_es_the_apple.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the arm,el brazo,/el ˈbɾa.θo/,[sound:al_es_es_the_arm.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the army,el ejército,/el eˈxeɾθi.to/,[sound:al_es_es_the_army.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the artist,el artista / la artista,/el aɾˈtis.ta/ /la aɾˈtis.ta/,[sound:al_es_es_the_artist.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the attack,el ataque,/el aˈta.ke/,[sound:al_es_es_the_attack.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the author,el autor / la autora,/el auˈtoɾ/ /la auˈto.ɾa/,[sound:al_es_es_the_author.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the baby,el bebé,/el beˈβe/,[sound:al_es_es_the_baby.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the back [anatomy],la espalda,/la esˈpal.da/,[sound:al_es_es_the_back_anatomy.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the back [location],la parte trasera,/la ˈpaɾ.te tɾaˈse.ɾa/,[sound:al_es_es_the_back_location.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bag,la bolsa,/la ˈbol.sa/,[sound:al_es_es_the_bag.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the ball,la pelota,/la peˈlo.ta/,[sound:al_es_es_the_ball.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the banana,el plátano,/el ˈpla.ta.no/,[sound:al_es_es_the_banana.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the band [music],el grupo (de música),/el ˈɡɾupo (de ˈmusika)/,[sound:al_es_es_the_band_music.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bank,el banco,/el ˈbaŋko/,[sound:al_es_es_the_bank.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bar,el bar,/el ˈbaɾ/,[sound:al_es_es_the_bar.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bathroom,el baño,/el ˈba.ɲo/,[sound:al_es_es_the_bathroom.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the beach,la playa,/la ˈpla.ʎa/,[sound:al_es_es_the_beach.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the beard,la barba,/la ˈbaɾ.βa/,[sound:al_es_es_the_beard.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bed,la cama,/la ˈka.ma/,[sound:al_es_es_the_bed.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bedroom,el dormitorio,/el doɾ.miˈto.ɾjo/,[sound:al_es_es_the_bedroom.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the beef,la ternera,/la teɾˈneɾa/,[sound:al_es_es_the_beef.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the beverage,la bebida,/la βeˈβi.ða/,[sound:al_es_es_the_beverage.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bicycle,la bicicleta,/la βiθiˈkleta/,[sound:al_es_es_the_bicycle.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bill [bank note],el billete,/el βiˈʝete/,[sound:al_es_es_the_bill_bank_note.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bird,el pájaro,/el ˈpaxaɾo/,[sound:al_es_es_the_bird.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the boat,el barco; el bote,/el ˈbaɾko/ /el ˈbo.te/,[sound:al_es_es_the_boat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the body,el cuerpo,/el ˈkweɾ.po/,[sound:al_es_es_the_body.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bone,el hueso,/el ˈwe.so/,[sound:al_es_es_the_bone.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the book,el libro,/el ˈli.βɾo/,[sound:al_es_es_the_book.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bottle,la botella,/la boˈte.ʎa/,[sound:al_es_es_the_bottle.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bottom,la parte inferior,/la ˈpaɾ.te in.feˈɾjoɾ/,[sound:al_es_es_the_bottom.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the box,la caja,/la ˈka.xa/,[sound:al_es_es_the_box.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the boy,el niño,/el ˈniɲo/,[sound:al_es_es_the_boy.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the brain,el cerebro,/el θeˈɾe.βɾo/,[sound:al_es_es_the_brain.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bread,el pan,/el ˈpan/,[sound:al_es_es_the_bread.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the bridge,el puente,/el ˈpwente/,[sound:al_es_es_the_bridge.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the brother,el hermano,/el eɾˈmano/,[sound:al_es_es_the_brother.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the building,el edificio,/el eðiˈfisjo/,[sound:al_es_es_the_building.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the bus,el autobús,/el autoˈβus/,[sound:al_es_es_the_bus.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the cake,el pastel,/el pasˈtel/,[sound:al_es_es_the_cake.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the camera,la cámara,/la ˈka.ma.ɾa/,[sound:al_es_es_the_camera.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the camp,el campamento,/el kampaˈmento/,[sound:al_es_es_the_camp.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the car,el coche,/el ˈkotʃe/,[sound:al_es_es_the_car.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the card,la tarjeta,/la taɾˈxe.ta/,[sound:al_es_es_the_card.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the cat,el gato,/el ˈɡato/,[sound:al_es_es_the_cat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the ceiling,el techo,/el ˈte.tʃo/,[sound:al_es_es_the_ceiling.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the cell phone,el móvil,/el ˈmo.βil/,[sound:al_es_es_the_cell_phone.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the centimeter,el centímetro,/el θenˈti.me.tɾo/,[sound:al_es_es_the_centimeter.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the chair,la silla,/la ˈsi.ʎa/,[sound:al_es_es_the_chair.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the cheese,el queso,/el ˈke.so/,[sound:al_es_es_the_cheese.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the chicken,el pollo,/el ˈpo.ʝo/,[sound:al_es_es_the_chicken.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the child,el niño; la niña,/el ˈniɲo/ /la ˈniɲa/,[sound:al_es_es_the_child.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the church,la iglesia,/la iˈɣlesja/,[sound:al_es_es_the_church.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the circle,el círculo,/el ˈθiɾ.ku.lo/,[sound:al_es_es_the_circle.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the city,la ciudad,/la θjuˈðað/,[sound:al_es_es_the_city.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the clock,el reloj,/el reˈlox/,[sound:al_es_es_the_clock.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the clothing,la ropa,/la ˈropa/,[sound:al_es_es_the_clothing.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the club,el club,/el ˈklub/,[sound:al_es_es_the_club.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the coat,el abrigo,/el aˈβɾiɣo/,[sound:al_es_es_the_coat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the color,el color,/el koˈloɾ/,[sound:al_es_es_the_color.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the computer,el ordenador,/el oɾðenaˈðoɾ/,[sound:al_es_es_the_computer.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the consonant,la consonante,/la kon.soˈnan.te/,[sound:al_es_es_the_consonant.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the contract,el contrato,/el konˈtɾa.to/,[sound:al_es_es_the_contract.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the corn,el maíz,/el maˈiθ/,[sound:al_es_es_the_corn.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the corner,la esquina,/la esˈki.na/,[sound:al_es_es_the_corner.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
"the country (USA, France, etc.)",el país,/el paˈis/,[sound:al_es_es_the_country_usa_france_etc.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the court,el tribunal,/el tɾiβuˈnal/,[sound:al_es_es_the_court.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the cow,la vaca,/la ˈbaka/,[sound:al_es_es_the_cow.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the crowd,la multitud,/la mul.tiˈtud/,[sound:al_es_es_the_crowd.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the cup,la taza,/la ˈta.θa/,[sound:al_es_es_the_cup.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the date,la fecha,/la ˈfe.tʃa/,[sound:al_es_es_the_date.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the daughter,la hija,/la ˈixa/,[sound:al_es_es_the_daughter.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the day,el día,/el ˈdi.a/,[sound:al_es_es_the_day.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the direction,la dirección,/la ði.ɾekˈθjon/,[sound:al_es_es_the_direction.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the doctor,el médico / la médica,/el ˈme.ði.ko/ /la ˈme.ði.ka/,[sound:al_es_es_the_doctor.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the dog,el perro,/el ˈpero/,[sound:al_es_es_the_dog.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the dollar,el dólar,/el ˈdo.laɾ/,[sound:al_es_es_the_dollar.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the door,la puerta,/la ˈpweɾ.ta/,[sound:al_es_es_the_door.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the dot,el punto,/el ˈpun.to/,[sound:al_es_es_the_dot.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the dream,el sueño,/el ˈswe.ɲo/,[sound:al_es_es_the_dream.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the dress,el vestido,/el βesˈtiðo/,[sound:al_es_es_the_dress.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the drug,la droga,/la ˈdɾo.ɣa/,[sound:al_es_es_the_drug.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the ear,la oreja,/la oˈɾe.xa/,[sound:al_es_es_the_ear.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the east,el este,/el ˈes.te/,[sound:al_es_es_the_east.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the edge,el borde,/el ˈboɾ.ðe/,[sound:al_es_es_the_edge.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the egg,el huevo,/el ˈwe.βo/,[sound:al_es_es_the_egg.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the election,la elección,/la eˌlekˈθjon/,[sound:al_es_es_the_election.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the engine,el motor,/el moˈtoɾ/,[sound:al_es_es_the_engine.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the evening,la tarde / la noche,/la ˈtaɾ.ðe/ /la ˈno.tʃe/,[sound:al_es_es_the_evening.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the eye,el ojo,/el ˈo.xo/,[sound:al_es_es_the_eye.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the face,la cara,/la ˈka.ɾa/,[sound:al_es_es_the_face.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the Fall,el otoño,/el oˈto.ɲo/,[sound:al_es_es_the_fall.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the family,la familia,/la faˈmilja/,[sound:al_es_es_the_family.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the fan [appliance],el ventilador,/el ben.ti.laˈðoɾ/,[sound:al_es_es_the_fan_appliance.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the fan [person],el aficionado,/el afiθjoˈnaðo/,[sound:al_es_es_the_fan_person.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the farm,la granja,/la ˈɡɾanxa/,[sound:al_es_es_the_farm.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the father,el padre,/el ˈpaðɾe/,[sound:al_es_es_the_father.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the finger,el dedo,/el ˈde.ðo/,[sound:al_es_es_the_finger.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the fire,el fuego,/el ˈfwe.ɣo/,[sound:al_es_es_the_fire.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the fish,el pez,/el ˈpeθ/,[sound:al_es_es_the_fish.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the floor,el suelo,/el ˈswe.lo/,[sound:al_es_es_the_floor.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the flower,la flor,/la ˈfloɾ/,[sound:al_es_es_the_flower.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the foot,el pie,/el ˈpje/,[sound:al_es_es_the_foot.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the foot [measurement],el pie,/el ˈpje/,[sound:al_es_es_the_foot.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the forest,el bosque,/el ˈbos.ke/,[sound:al_es_es_the_forest.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the fork,el tenedor,/el te.neˈðoɾ/,[sound:al_es_es_the_fork.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the friend,el amigo,/el aˈmiɣo/,[sound:al_es_es_the_friend.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the front,el frente,/el ˈfɾen.te/,[sound:al_es_es_the_front.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the game,el juego,/el ˈxwe.ɣo/,[sound:al_es_es_the_game.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the garden,el jardín,/el xaɾˈðin/,[sound:al_es_es_the_garden.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the gasoline,la gasolina,/la ɡasoˈlina/,[sound:al_es_es_the_gasoline.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the gift,el regalo,/el reˈɣa.lo/,[sound:al_es_es_the_gift.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the girl,la niña,/la ˈniɲa/,[sound:al_es_es_the_girl.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the grandfather,el abuelo,/el aˈβwelo/,[sound:al_es_es_the_grandfather.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the grandmother,la abuela,/la aˈβwela/,[sound:al_es_es_the_grandmother.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the grass,el césped,/el ˈθes.pet/,[sound:al_es_es_the_grass.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the ground,el suelo,/el ˈswelo/,[sound:al_es_es_the_floor.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the gun,el arma,/el ˈaɾ.ma/,[sound:al_es_es_the_gun.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hair,el cabello,/el kaˈβe.ʎo/,[sound:al_es_es_the_hair.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the half,la mitad,/la miˈtað/,[sound:al_es_es_the_half.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hand,la mano,/la ˈma.no/,[sound:al_es_es_the_hand.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hat,el sombrero,/el somˈbɾeɾo/,[sound:al_es_es_the_hat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the head,la cabeza,/la kaˈβe.sa/,[sound:al_es_es_the_head.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the heart,el corazón,/el ko.ɾaˈθon/,[sound:al_es_es_the_heart.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the heat,el calor,/el kaˈloɾ/,[sound:al_es_es_the_heat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hill,la colina,/la koˈli.na/,[sound:al_es_es_the_hill.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hole,el agujero,/el a.ɣuˈxe.ɾo/,[sound:al_es_es_the_hole.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the horse,el caballo,/el kaˈβaʎo/,[sound:al_es_es_the_horse.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the hospital,el hospital,/el ospiˈtal/,[sound:al_es_es_the_hospital.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hotel,el hotel,/el oˈtel/,[sound:al_es_es_the_hotel.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the hour,la hora,/la ˈo.ɾa/,[sound:al_es_es_the_hour.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the house,la casa,/la ˈkasa/,[sound:al_es_es_the_house.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the human,el humano,/el uˈmano/,[sound:al_es_es_the_human.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the husband,el esposo,/el esˈposo/,[sound:al_es_es_the_husband.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the ice,el hielo,/el ˈʝje.lo/,[sound:al_es_es_the_ice.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the image,la imagen,/la iˈma.xen/,[sound:al_es_es_the_image.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the inch,la pulgada,/la pulˈɣa.ða/,[sound:al_es_es_the_inch.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the injury,la herida,/la eˈɾi.ða/,[sound:al_es_es_the_injury.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the inside,el interior,/el in.teˈɾjoɾ/,[sound:al_es_es_the_inside.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
the instrument,el instrumento,/el ins.tɾuˈmen.to/,[sound:al_es_es_the_instrument.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the island,la isla,/la ˈiz.la/,[sound:al_es_es_the_island.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
the job,el trabajo,/el tɾaˈβa.xo/,[sound:al_es_es_the_job.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
