key,text:ta,ipa:ta,audio:ta,audio source:ta,tags:ta
silver,வெள்ளி,/ʋeɭɭi/,[sound:al_ta_in_silver.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
six (6),ஆறு,/aːɾu/,[sound:al_ta_in_six_6.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sixteen (16),பதினாறு,/padinaːɾu/,[sound:al_ta_in_sixteen_16.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sixty (60),அறுபது,/aɾubadu/,[sound:al_ta_in_sixty_60.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
sixty-one (61),அறுபத்தி ஒன்று,/aɾubatti onɖɾu/,[sound:al_ta_in_sixty_one_61.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sixty-two (62),அறுபத்தி இரண்டு,/aɾubatti iraɳɖu/,[sound:al_ta_in_sixty_two_62.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
slow,மெதுவான,/meduʋaːna/,[sound:al_ta_in_slow.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
small / little,சிறிய,/siɾija/,[sound:al_ta_in_small_little.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
soft,மென்மையான,/menmaijɑːnɑ/,[sound:al_ta_in_soft.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
soil/earth [ground],மண்,/maɳ/,[sound:al_ta_in_soil_earth_ground.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
space (outer space),விண்வெளி,/ʋiɳʋeɭi/,[sound:al_ta_in_space_outer_space.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
sport,விளையாட்டு,/ʋiɭaijaːʈʈu/,[sound:al_ta_in_sport.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
stone,கல்,/kal/,[sound:al_ta_in_stone.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
straight,நேரான,/neːɾaːna/,[sound:al_ta_in_straight.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
strong,வலிமையான,/ʋalimaijɑːnɑ/,[sound:al_ta_in_strong.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
sugar,சர்க்கரை,/sarkkaɾai/,[sound:al_ta_in_sugar.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
Sunday,ஞாயிறு,/ɲaːjiɾu/,[sound:al_ta_in_sunday.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
sweat,வியர்வை,/ʋijarʋai/,[sound:al_ta_in_sweat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
tall,உயரமான,/ujaɾamaːna/,[sound:al_ta_in_tall.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
tea,தேநீர்,/teːniːr/,[sound:al_ta_in_tea.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
technology,தொழில்நுட்பம்,/toɻilnuʈpam/,[sound:al_ta_in_technology.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
temperature,வெப்பநிலை,/ʋeppanilai/,[sound:al_ta_in_temperature.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
ten (10),பத்து,/pattu/,[sound:al_ta_in_ten_10.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"ten thousand (10,000)",பத்தாயிரம்,/pattaːjiɾam/,[sound:al_ta_in_ten_thousand_10_000.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the (train) ticket,டிக்கெட்,/ɖikkeʈ/,[sound:al_ta_in_the_train_ticket.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the actor,நடிகர்,/naɖiɡar/,[sound:al_ta_in_the_actor.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the adjective,பெயரடை,/pejaɾaɖai/,[sound:al_ta_in_the_adjective.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the adult,வயது வந்தவர்,/ʋajadu ʋandaʋar/,[sound:al_ta_in_the_adult.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the afternoon,மதியம்,/madijam/,[sound:al_ta_in_the_afternoon.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the air,காற்று,/kaːttu/,[sound:al_ta_in_the_air.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the airport,விமான நிலையம்,/ʋimaːna nilaijam/,[sound:al_ta_in_the_airport.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the animal,விலங்கு,/ʋilaŋɡu/,[sound:al_ta_in_the_animal.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the apartment,குடியிருப்பு,/kuɖijiɾuppu/,[sound:al_ta_in_the_apartment.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the apple,ஆப்பிள்,/aːppiɭ/,[sound:al_ta_in_the_apple.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the arm,கை,/kai/,[sound:al_ta_in_the_arm.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the army,இராணுவம்,/iraːɳuʋam/,[sound:al_ta_in_the_army.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the artist,கலைஞர்,/kalaiɲar/,[sound:al_ta_in_the_artist.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the attack,தாக்குதல்,/taːkkudal/,[sound:al_ta_in_the_attack.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the author,எழுத்தாளர்,/eɻuttaːɭar/,[sound:al_ta_in_the_author.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the baby,குழந்தை,/kuɻandai/,[sound:al_ta_in_the_baby.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the back [anatomy],முதுகு,/muduɡu/,[sound:al_ta_in_the_back_anatomy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the back [location],பின்புறம்,/pinpuɾam/,[sound:al_ta_in_the_back_location.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the bag,பை,/pai/,[sound:al_ta_in_the_bag.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the ball,பந்து,/pandu/,[sound:al_ta_in_the_ball.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the banana,வாழைப்பழம்,/ʋaːɻaippaɻam/,[sound:al_ta_in_the_banana.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the band [music],இசைக்குழு,/isaikɡuɻu/,[sound:al_ta_in_the_band_music.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bank,வங்கி,/ʋaŋɡi/,[sound:al_ta_in_the_bank.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the bar,பார்,/paːr/,[sound:al_ta_in_the_bar.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bathroom,குளியலறை,/kuɭijalaɾai/,[sound:al_ta_in_the_bathroom.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the beach,கடற்கரை,/kaɖaɾkaɾai/,[sound:al_ta_in_the_beach.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the beard,தாடி,/taːɖi/,[sound:al_ta_in_the_beard.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the bed,படுக்கை,/paɖukkai/,[sound:al_ta_in_the_bed.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the bedroom,படுக்கையறை,/paɖukkaijɑɾɑi/,[sound:al_ta_in_the_bedroom.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the beef,மாட்டிறைச்சி,/maːʈʈiɾaitʃi/,[sound:al_ta_in_the_beef.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the beverage,பானம்,/paːnam/,[sound:al_ta_in_the_beverage.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bicycle,மிதிவண்டி,/midiʋaɳɖi/,[sound:al_ta_in_the_bicycle.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bill [bank note],ரூபாய் நோட்டு,/ɾuːpaːj noːʈʈu/,[sound:al_ta_in_the_bill_bank_note.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the bird,பறவை,/paɾaʋai/,[sound:al_ta_in_the_bird.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the boat,படகு,/paɖaɡu/,[sound:al_ta_in_the_boat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the body,உடல்,/uɖal/,[sound:al_ta_in_the_body.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bone,எலும்பு,/elumbu/,[sound:al_ta_in_the_bone.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the book,புத்தகம்,/puttaɡam/,[sound:al_ta_in_the_book.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bottle,பாட்டில்,/paːʈʈil/,[sound:al_ta_in_the_bottle.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bottom,அடிப்பகுதி,/aɖippaɡudi/,[sound:al_ta_in_the_bottom.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the box,பெட்டி,/peʈʈi/,[sound:al_ta_in_the_box.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the boy,பையன்,/paijjan/,[sound:al_ta_in_the_boy.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the brain,மூளை,/muːɭai/,[sound:al_ta_in_the_brain.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bread,ரொட்டி,/ɾoʈʈi/,[sound:al_ta_in_the_bread.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bridge,பாலம்,/paːlam/,[sound:al_ta_in_the_bridge.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the brother,சகோதரன்,/saɡoːdaraːn/,[sound:al_ta_in_the_brother.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the building,கட்டிடம்,/kaʈʈiɖam/,[sound:al_ta_in_the_building.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the bus,பேருந்து,/peːɾundu/,[sound:al_ta_in_the_bus.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the cake,கேக்,/keːk/,[sound:al_ta_in_the_cake.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the camera,கேமரா,/keːmaɾaː/,[sound:al_ta_in_the_camera.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the camp,முகாம்,/muɡaːm/,[sound:al_ta_in_the_camp.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the car,கார்,/kaːr/,[sound:al_ta_in_the_car.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the card,அட்டை,/aʈʈai/,[sound:al_ta_in_the_card.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the cat,பூனை,/puːnai/,[sound:al_ta_in_the_cat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the ceiling,கூரை,/kuːɾai/,[sound:al_ta_in_the_ceiling.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the cell phone,செல்போன்,/selpoːn/,[sound:al_ta_in_the_cell_phone.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the centimeter,சென்டிமீட்டர்,/senɖimiːʈʈar/,[sound:al_ta_in_the_centimeter.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the chair,நாற்காலி,/naːɾkaːli/,[sound:al_ta_in_the_chair.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the cheese,பாலாடைக்கட்டி,/paːlaːɖaikkaʈʈi/,[sound:al_ta_in_the_cheese.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the chicken,கோழி,/koːɻi/,[sound:al_ta_in_the_chicken.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the child,குழந்தை,/kuɻandai/,[sound:al_ta_in_the_child.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the church,தேவாலயம்,/teːʋaːlajam/,[sound:al_ta_in_the_church.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the circle,வட்டம்,/ʋaʈʈam/,[sound:al_ta_in_the_circle.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the city,நகரம்,/naɡaɾam/,[sound:al_ta_in_the_city.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the clock,கடிகாரம்,/kaɖiɡaːɾam/,[sound:al_ta_in_the_clock.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the clothing,ஆடை,/aːɖai/,[sound:al_ta_in_the_clothing.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the club,கிளப்,/kilap/,[sound:al_ta_in_the_club.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the coat,கோட்,/koːʈ/,[sound:al_ta_in_the_coat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the color,நிறம்,/niɾam/,[sound:al_ta_in_the_color.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the computer,கணினி,/kaɳini/,[sound:al_ta_in_the_computer.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the consonant,மெய்யெழுத்து,/meijjeɻuttu/,[sound:al_ta_in_the_consonant.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the contract,ஒப்பந்தம்,/oppandam/,[sound:al_ta_in_the_contract.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the corn,சோளம்,/soːɭam/,[sound:al_ta_in_the_corn.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the corner,மூலை,/muːlai/,[sound:al_ta_in_the_corner.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
"the country (USA, France, etc.)",நாடு,/naːɖu/,[sound:al_ta_in_the_country_usa_france_etc.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the court,நீதிமன்றம்,/niːdimanɾam/,[sound:al_ta_in_the_court.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the cow,பசு,/pasu/,[sound:al_ta_in_the_cow.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the crowd,கூட்டம்,/kuːʈʈam/,[sound:al_ta_in_the_crowd.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the cup,கோப்பை,/koːppai/,[sound:al_ta_in_the_cup.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the date,தேதி,/teːdi/,[sound:al_ta_in_the_date.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the daughter,மகள்,/maɡaɭ/,[sound:al_ta_in_the_daughter.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the day,நாள்,/naːɭ/,[sound:al_ta_in_the_day.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the direction,திசை,/disai/,[sound:al_ta_in_the_direction.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the doctor,மருத்துவர்,/maruttuʋar/,[sound:al_ta_in_the_doctor.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the dog,நாய்,/naːj/,[sound:al_ta_in_the_dog.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the dollar,டாலர்,/ɖaːlar/,[sound:al_ta_in_the_dollar.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the door,கதவு,/kadaʋu/,[sound:al_ta_in_the_door.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the dot,புள்ளி,/puɭɭi/,[sound:al_ta_in_the_dot.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the dream,கனவு,/kanaʋu/,[sound:al_ta_in_the_dream.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the dress,ஆடை,/aːɖai/,[sound:al_ta_in_the_dress.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the drug,மருந்து,/marundu/,[sound:al_ta_in_the_drug.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the ear,காது,/kaːdu/,[sound:al_ta_in_the_ear.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the east,கிழக்கு,/kiɻakku/,[sound:al_ta_in_the_east.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the edge,விளிம்பு,/ʋiɭimbu/,[sound:al_ta_in_the_edge.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the egg,முட்டை,/muʈʈai/,[sound:al_ta_in_the_egg.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the election,தேர்தல்,/teːrdal/,[sound:al_ta_in_the_election.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the engine,இயந்திரம்,/ijaːndiɾam/,[sound:al_ta_in_the_engine.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the evening,மாலை,/maːlai/,[sound:al_ta_in_the_evening.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the eye,கண்,/kaɳ/,[sound:al_ta_in_the_eye.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the face,முகம்,/muɡam/,[sound:al_ta_in_the_face.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the Fall,இலையுதிர் காலம்,/ilaijjudːir kaːlam/,[sound:al_ta_in_the_fall.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the family,குடும்பம்,/kuɖumbam/,[sound:al_ta_in_the_family.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the fan [appliance],விசிறி,/ʋisiɾi/,[sound:al_ta_in_the_fan_appliance.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the fan [person],ரசிகர்,/rasiɡar/,[sound:al_ta_in_the_fan_person.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the farm,பண்ணை,/paɳɳai/,[sound:al_ta_in_the_farm.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the father,தந்தை,/tandai/,[sound:al_ta_in_the_father.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the finger,விரல்,/ʋiɾal/,[sound:al_ta_in_the_finger.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the fire,நெருப்பு,/neɾuppu/,[sound:al_ta_in_the_fire.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the fish,மீன்,/miːn/,[sound:al_ta_in_the_fish.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the floor,தரை,/daɾai/,[sound:al_ta_in_the_floor.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the flower,பூ,/puː/,[sound:al_ta_in_the_flower.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the foot,பாதம்,/paːdam/,[sound:al_ta_in_the_foot.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the foot [measurement],அடி,/aɖi/,[sound:al_ta_in_the_foot_measurement.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the forest,காடு,/kaːɖu/,[sound:al_ta_in_the_forest.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the fork,முள்,/muɭ/,[sound:al_ta_in_the_fork.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the friend,நண்பர்,/naɳbar/,[sound:al_ta_in_the_friend.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the front,முன்புறம்,/munpuɾam/,[sound:al_ta_in_the_front.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the game,விளையாட்டு,/ʋiɭaijaːʈʈu/,[sound:al_ta_in_the_game.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the garden,தோட்டம்,/toːʈʈam/,[sound:al_ta_in_the_garden.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the gasoline,பெட்ரோல்,/peʈɾoːl/,[sound:al_ta_in_the_gasoline.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the gift,பரிசு,/paɾisu/,[sound:al_ta_in_the_gift.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the girl,பெண்,/peɳ/,[sound:al_ta_in_the_girl.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the grandfather,தாத்தா,/taːttaː/,[sound:al_ta_in_the_grandfather.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the grandmother,பாட்டி,/paːʈʈi/,[sound:al_ta_in_the_grandmother.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the grass,புல்,/pul/,[sound:al_ta_in_the_grass.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the ground,நிலம்,/nilam/,[sound:al_ta_in_the_ground.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the gun,துப்பாக்கி,/tuppaːkki/,[sound:al_ta_in_the_gun.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the hair,முடி,/muɖi/,[sound:al_ta_in_the_hair.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the half,பாதி,/paːdi/,[sound:al_ta_in_the_half.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the hand,கை,/kai/,[sound:al_ta_in_the_hand.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the hat,தொப்பி,/toppi/,[sound:al_ta_in_the_hat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the head,தலை,/talai/,[sound:al_ta_in_the_head.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the heart,இதயம்,/idajam/,[sound:al_ta_in_the_heart.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the heat,வெப்பம்,/ʋeppam/,[sound:al_ta_in_the_heat.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the hill,மலை,/malai/,[sound:al_ta_in_the_hill.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the hole,ஓட்டை,/oːʈʈai/,[sound:al_ta_in_the_hole.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the horse,குதிரை,/kudiɾai/,[sound:al_ta_in_the_horse.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the hospital,மருத்துவமனை,/maruttuʋamanai/,[sound:al_ta_in_the_hospital.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the hotel,ஹோட்டல்,/hoːʈʈal/,[sound:al_ta_in_the_hotel.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the hour,மணி நேரம்,/maɳi neːɾam/,[sound:al_ta_in_the_hour.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the house,வீடு,/ʋiːɖu/,[sound:al_ta_in_the_house.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the human,மனிதன்,/manidan/,[sound:al_ta_in_the_human.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the husband,கணவன்,/kaɳaʋan/,[sound:al_ta_in_the_husband.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the ice,பனி,/pani/,[sound:al_ta_in_the_ice.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the image,படம்,/paɖam/,[sound:al_ta_in_the_image.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the inch,அங்குலம்,/aŋɡulam/,[sound:al_ta_in_the_inch.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the injury,காயம்,/kaːjam/,[sound:al_ta_in_the_injury.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the inside,உட்புறம்,/uʈpuɾam/,[sound:al_ta_in_the_inside.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
the instrument,கருவி,/kaɾuʋi/,[sound:al_ta_in_the_instrument.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
the island,தீவு,/tiːʋu/,[sound:al_ta_in_the_island.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
