key,text:fa,ipa:fa,audio:fa,audio source:fa,tags:fa
the (train) ticket,بلیط قطار,/bilit ɢætɒːɾ/,[sound:al_fa_ir_the_train_ticket.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the actor,بازیگر,/bɒːzigeɾ/,[sound:al_fa_ir_the_actor.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the adjective,صفت,/sefæt/,[sound:al_fa_ir_the_adjective.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the adult,بزرگسال,/bozoɾgsɒːl/,[sound:al_fa_ir_the_adult.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the afternoon,بعد از ظهر,/bæʔd æz zohr/,[sound:al_fa_ir_the_afternoon.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the air,هوا,/hævɒː/,[sound:al_fa_ir_the_air.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the airport,فرودگاه,/foɾudgɒːh/,[sound:al_fa_ir_the_airport.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the animal,حیوان,/hejvɒːn/,[sound:al_fa_ir_the_animal.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the apartment,آپارتمان,/ɒːpɒːɾtemɒːn/,[sound:al_fa_ir_the_apartment.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the apple,سیب,/sib/,[sound:al_fa_ir_the_apple.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the arm,بازو,/bɒːzu/,[sound:al_fa_ir_the_arm.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the army,ارتش,/æɾteʃ/,[sound:al_fa_ir_the_army.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the artist,هنرمند,/honæɾmænd/,[sound:al_fa_ir_the_artist.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the attack,حمله,/hæmle/,[sound:al_fa_ir_the_attack.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the author,نویسنده,/nevisænde/,[sound:al_fa_ir_the_author.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the baby,نوزاد,/nozɒːd/,[sound:al_fa_ir_the_baby.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the back [anatomy],پشت,/poʃt/,[sound:al_fa_ir_the_back_anatomy.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the back [location],عقب,/ʔæɢæb/,[sound:al_fa_ir_the_back_location.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the bag,کیف,/kif/,[sound:al_fa_ir_the_bag.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the ball,توپ,/tup/,[sound:al_fa_ir_the_ball.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the banana,موز,/moz/,[sound:al_fa_ir_the_banana.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the band [music],گروه موسیقی,/goɾuhe musiɢi/,[sound:al_fa_ir_the_band_music.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bank,بانک,/bɒːnk/,[sound:al_fa_ir_the_bank.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the bar,بار,/bɒːɾ/,[sound:al_fa_ir_the_bar.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the bathroom,حمام,/hæmɒːm/,[sound:al_fa_ir_the_bathroom.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the beach,ساحل,/sɒːhel/,[sound:al_fa_ir_the_beach.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the beard,ریش,/ɾiʃ/,[sound:al_fa_ir_the_beard.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the bed,تخت,/tæxt/,[sound:al_fa_ir_the_bed.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bedroom,اتاق خواب,/otɒːɢe xɒːb/,[sound:al_fa_ir_the_bedroom.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the beef,گوشت گاو,/guʃte gɒːv/,[sound:al_fa_ir_the_beef.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the beverage,نوشیدنی,/nuʃidæni/,[sound:al_fa_ir_the_beverage.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the bicycle,دوچرخه,/dot͡ʃæɾxe/,[sound:al_fa_ir_the_bicycle.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bill [bank note],اسکناس,/eskenɒːs/,[sound:al_fa_ir_the_bill_bank_note.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bird,پرنده,/pæɾænde/,[sound:al_fa_ir_the_bird.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the boat,قایق,/ɢɒːjeɢ/,[sound:al_fa_ir_the_boat.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the body,بدن,/bædæn/,[sound:al_fa_ir_the_body.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the bone,استخوان,/ostoxɒːn/,[sound:al_fa_ir_the_bone.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the book,کتاب,/ketɒːb/,[sound:al_fa_ir_the_book.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the bottle,بطری,/botɾi/,[sound:al_fa_ir_the_bottle.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bottom,پایین,/pɒːjin/,[sound:al_fa_ir_the_bottom.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the box,جعبه,/d͡ʒæʔbe/,[sound:al_fa_ir_the_box.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the boy,پسر,/pesæɾ/,[sound:al_fa_ir_the_boy.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the brain,مغز,/mæɢz/,[sound:al_fa_ir_the_brain.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bread,نان,/nɒːn/,[sound:al_fa_ir_the_bread.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the bridge,پل,/pol/,[sound:al_fa_ir_the_bridge.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the brother,برادر,/bæɾɒːdæɾ/,[sound:al_fa_ir_the_brother.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the building,ساختمان,/sɒːxtemɒːn/,[sound:al_fa_ir_the_building.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the bus,اتوبوس,/otobus/,[sound:al_fa_ir_the_bus.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the cake,کیک,/keik/,[sound:al_fa_ir_the_cake.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the camera,دوربین,/duɾbin/,[sound:al_fa_ir_the_camera.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the camp,اردوگاه,/oɾdugɒːh/,[sound:al_fa_ir_the_camp.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the car,ماشین,/mɒːʃin/,[sound:al_fa_ir_the_car.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the card,کارت,/kɒːɾt/,[sound:al_fa_ir_the_card.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the cat,گربه,/goɾbe/,[sound:al_fa_ir_the_cat.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the ceiling,سقف,/sæɢf/,[sound:al_fa_ir_the_ceiling.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the cell phone,تلفن همراه,/telefone hæmɾɒːh/,[sound:al_fa_ir_the_cell_phone.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the centimeter,سانتی‌متر,/sɒːntimetɾ/,[sound:al_fa_ir_the_centimeter.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the chair,صندلی,/sændæli/,[sound:al_fa_ir_the_chair.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the cheese,پنیر,/pæniɾ/,[sound:al_fa_ir_the_cheese.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the chicken,مرغ,/moɾɢ/,[sound:al_fa_ir_the_chicken.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the child,بچه,/bæt͡ʃe/,[sound:al_fa_ir_the_child.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the church,کلیسا,/kelisɒː/,[sound:al_fa_ir_the_church.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the circle,دایره,/dɒːjeɾe/,[sound:al_fa_ir_the_circle.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the city,شهر,/ʃæhɾ/,[sound:al_fa_ir_the_city.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the clock,ساعت,/sɒːʔæt/,[sound:al_fa_ir_the_clock.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the clothing,لباس,/lebɒːs/,[sound:al_fa_ir_the_clothing.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the club,باشگاه,/bɒːʃgɒːh/,[sound:al_fa_ir_the_club.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the coat,پالتو,/pɒːlto/,[sound:al_fa_ir_the_coat.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the color,رنگ,/ɾæng/,[sound:al_fa_ir_the_color.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the computer,کامپیوتر,/kɒːmpjuteɾ/,[sound:al_fa_ir_the_computer.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the consonant,حرف بی‌صدا,/hæɾfe bi sedɒː/,[sound:al_fa_ir_the_consonant.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the contract,قرارداد,/ɢæɾɒːɾdɒːd/,[sound:al_fa_ir_the_contract.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the corn,ذرت,/zoɾæt/,[sound:al_fa_ir_the_corn.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the corner,گوشه,/guʃe/,[sound:al_fa_ir_the_corner.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
"the country (USA, France, etc.)",کشور,/keʃvæɾ/,[sound:al_fa_ir_the_country_usa_france_etc.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the court,دادگاه,/dɒːdgɒːh/,[sound:al_fa_ir_the_court.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the cow,گاو,/gɒːv/,[sound:al_fa_ir_the_cow.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the crowd,جمعیت,/d͡ʒæmʔijæt/,[sound:al_fa_ir_the_crowd.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the cup,فنجان,/fend͡ʒɒːn/,[sound:al_fa_ir_the_cup.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the date,تاریخ,/tɒːɾix/,[sound:al_fa_ir_the_date.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the daughter,دختر,/doxtæɾ/,[sound:al_fa_ir_the_daughter.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the day,روز,/ɾuz/,[sound:al_fa_ir_the_day.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the direction,جهت,/d͡ʒehæt/,[sound:al_fa_ir_the_direction.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the doctor,دکتر,/doktor/,[sound:al_fa_ir_the_doctor.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the dog,سگ,/sæg/,[sound:al_fa_ir_the_dog.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the dollar,دلار,/dolɒːɾ/,[sound:al_fa_ir_the_dollar.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the door,در,/dæɾ/,[sound:al_fa_ir_the_door.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the dot,نقطه,/noɢte/,[sound:al_fa_ir_the_dot.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the dream,رویا,/ɾojɒː/,[sound:al_fa_ir_the_dream.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the dress,پیراهن,/piɾɒːhæn/,[sound:al_fa_ir_the_dress.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the drug,دارو,/dɒːɾu/,[sound:al_fa_ir_the_drug.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the ear,گوش,/guʃ/,[sound:al_fa_ir_the_ear.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the east,شرق,/ʃæɾɢ/,[sound:al_fa_ir_the_east.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the edge,لبه,/læbe/,[sound:al_fa_ir_the_edge.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the egg,تخم‌مرغ,/toxme moɾɢ/,[sound:al_fa_ir_the_egg.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the election,انتخابات,/entexɒːbɒːt/,[sound:al_fa_ir_the_election.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the engine,موتور,/motoɾ/,[sound:al_fa_ir_the_engine.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the evening,عصر,/ʔæsɾ/,[sound:al_fa_ir_the_evening.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the eye,چشم,/t͡ʃeʃm/,[sound:al_fa_ir_the_eye.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the face,صورت,/suɾæt/,[sound:al_fa_ir_the_face.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the Fall,پاییز,/pɒːjiz/,[sound:al_fa_ir_the_fall.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the family,خانواده,/xɒːnevɒːde/,[sound:al_fa_ir_the_family.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the fan [appliance],پنکه,/pænke/,[sound:al_fa_ir_the_fan_appliance.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the fan [person],طرفدار,/tæɾæfdɒːɾ/,[sound:al_fa_ir_the_fan_person.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the farm,مزرعه,/mæzɾæʔe/,[sound:al_fa_ir_the_farm.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the father,پدر,/pedæɾ/,[sound:al_fa_ir_the_father.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the finger,انگشت,/ængʃot/,[sound:al_fa_ir_the_finger.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the fire,آتش,/ɒːtæʃ/,[sound:al_fa_ir_the_fire.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the fish,ماهی,/mɒːhi/,[sound:al_fa_ir_the_fish.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the floor,کف,/kæf/,[sound:al_fa_ir_the_floor.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the flower,گل,/gol/,[sound:al_fa_ir_the_flower.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the foot,پا,/pɒː/,[sound:al_fa_ir_the_foot.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the foot [measurement],فوت,/fut/,[sound:al_fa_ir_the_foot_measurement.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the forest,جنگل,/d͡ʒængæl/,[sound:al_fa_ir_the_forest.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the fork,چنگال,/t͡ʃængɒːl/,[sound:al_fa_ir_the_fork.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the friend,دوست,/dust/,[sound:al_fa_ir_the_friend.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the front,جلو,/d͡ʒelo/,[sound:al_fa_ir_the_front.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the game,بازی,/bɒːzi/,[sound:al_fa_ir_the_game.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the garden,باغ,/bɒːɢ/,[sound:al_fa_ir_the_garden.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the gasoline,بنزین,/benzin/,[sound:al_fa_ir_the_gasoline.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the gift,هدیه,/hædije/,[sound:al_fa_ir_the_gift.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the girl,دختر,/doxtæɾ/,[sound:al_fa_ir_the_girl.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the grandfather,پدربزرگ,/pedæɾbozoɾg/,[sound:al_fa_ir_the_grandfather.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the grandmother,مادربزرگ,/mɒːdæɾbozoɾg/,[sound:al_fa_ir_the_grandmother.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the grass,چمن,/t͡ʃæmæn/,[sound:al_fa_ir_the_grass.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the ground,زمین,/zæmin/,[sound:al_fa_ir_the_ground.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the gun,تفنگ,/tofæng/,[sound:al_fa_ir_the_gun.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the hair,مو,/mu/,[sound:al_fa_ir_the_hair.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the half,نصف,/nesf/,[sound:al_fa_ir_the_half.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the hand,دست,/dæst/,[sound:al_fa_ir_the_hand.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the hat,کلاه,/kolɒːh/,[sound:al_fa_ir_the_hat.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the head,سر,/sær/,[sound:al_fa_ir_the_head.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the heart,قلب,/ɢælb/,[sound:al_fa_ir_the_heart.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the heat,گرما,/gæɾmɒː/,[sound:al_fa_ir_the_heat.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the hill,تپه,/tæpe/,[sound:al_fa_ir_the_hill.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the hole,سوراخ,/suɾɒːx/,[sound:al_fa_ir_the_hole.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the horse,اسب,/æsb/,[sound:al_fa_ir_the_horse.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the hospital,بیمارستان,/bimɒːɾestɒːn/,[sound:al_fa_ir_the_hospital.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the hotel,هتل,/hotel/,[sound:al_fa_ir_the_hotel.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the hour,ساعت,/sɒːʔæt/,[sound:al_fa_ir_the_hour.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the house,خانه,/xɒːne/,[sound:al_fa_ir_the_house.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the human,انسان,/ensɒːn/,[sound:al_fa_ir_the_human.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the husband,شوهر,/ʃohæɾ/,[sound:al_fa_ir_the_husband.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the ice,یخ,/jæx/,[sound:al_fa_ir_the_ice.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the image,تصویر,/tæsviɾ/,[sound:al_fa_ir_the_image.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the inch,اینچ,/int͡ʃ/,[sound:al_fa_ir_the_inch.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the injury,آسیب,/ɒːsib/,[sound:al_fa_ir_the_injury.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the inside,داخل,/dɒːxel/,[sound:al_fa_ir_the_inside.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the instrument,آلت موسیقی,/ɒːlæte musiɢi/,[sound:al_fa_ir_the_instrument.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the island,جزیره,/d͡ʒæziɾe/,[sound:al_fa_ir_the_island.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the job,شغل,/ʃoɢl/,[sound:al_fa_ir_the_job.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the key,کلید,/kelid/,[sound:al_fa_ir_the_key.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the kilogram,کیلوگرم,/kilogɾæm/,[sound:al_fa_ir_the_kilogram.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the king,پادشاه,/pɒːdʃɒːh/,[sound:al_fa_ir_the_king.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the kitchen,آشپزخانه,/ɒːʃpæzxɒːne/,[sound:al_fa_ir_the_kitchen.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the knee,زانو,/zɒːnu/,[sound:al_fa_ir_the_knee.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the knife,چاقو,/t͡ʃɒːɢu/,[sound:al_fa_ir_the_knife.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the lake,دریاچه,/dæɾjɒːt͡ʃe/,[sound:al_fa_ir_the_lake.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the lamp,چراغ,/t͡ʃeɾɒːɢ/,[sound:al_fa_ir_the_lamp.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the laptop,لپ‌تاپ,/læp tɒːp/,[sound:al_fa_ir_the_laptop.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the lawyer,وکیل,/vækil/,[sound:al_fa_ir_the_lawyer.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the leaf,برگ,/bæɾg/,[sound:al_fa_ir_the_leaf.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the leg,پا,/pɒː/,[sound:al_fa_ir_the_leg.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the lemon,لیمو,/limu/,[sound:al_fa_ir_the_lemon.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the letter,نامه,/nɒːme/,[sound:al_fa_ir_the_letter.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the library,کتابخانه,/ketɒːbxɒːne/,[sound:al_fa_ir_the_library.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the light,نور,/nuɾ/,[sound:al_fa_ir_the_light.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the lip,لب,/læb/,[sound:al_fa_ir_the_lip.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the location,مکان,/mækɒːn/,[sound:al_fa_ir_the_location.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the lock,قفل,/ɢofl/,[sound:al_fa_ir_the_lock.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the magazine,مجله,/mæd͡ʒæle/,[sound:al_fa_ir_the_magazine.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the man,مرد,/mæɾd/,[sound:al_fa_ir_the_man.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the manager,مدیر,/modiɾ/,[sound:al_fa_ir_the_manager.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the map,نقشه,/næɢʃe/,[sound:al_fa_ir_the_map.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the market,بازار,/bɒːzɒːɾ/,[sound:al_fa_ir_the_market.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the meter,متر,/metɾ/,[sound:al_fa_ir_the_meter.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the minute,دقیقه,/dæɢiɢe/,[sound:al_fa_ir_the_minute.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the month,ماه,/mɒːh/,[sound:al_fa_ir_the_month.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the moon,ماه,/mɒːh/,[sound:al_fa_ir_the_moon.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the morning,صبح,/sobh/,[sound:al_fa_ir_the_morning.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the mother,مادر,/mɒːdæɾ/,[sound:al_fa_ir_the_mother.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the mountain,کوه,/kuh/,[sound:al_fa_ir_the_mountain.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the mouse,موش,/muʃ/,[sound:al_fa_ir_the_mouse.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the mouth,دهان,/dæhɒːn/,[sound:al_fa_ir_the_mouth.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the movie,فیلم,/film/,[sound:al_fa_ir_the_movie.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the neck,گردن,/gæɾdæn/,[sound:al_fa_ir_the_neck.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the needle,سوزن,/suzæn/,[sound:al_fa_ir_the_needle.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the neighbor,همسایه,/hæmsɒːje/,[sound:al_fa_ir_the_neighbor.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the network,شبکه,/ʃæbæke/,[sound:al_fa_ir_the_network.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
the newspaper,روزنامه,/ɾuznɒːme/,[sound:al_fa_ir_the_newspaper.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the night,شب,/ʃæb/,[sound:al_fa_ir_the_night.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
the north,شمال,/ʃomɒːl/,[sound:al_fa_ir_the_north.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the nose,بینی,/bini/,[sound:al_fa_ir_the_nose.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
the note,یادداشت,/jɒːdɒːʃt/,[sound:al_fa_ir_the_note.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
